"","participantId","variable","value","AiC","agree","hasChoice"
"1","1","aicAgreeChoiceInfluence",0.675675675675676,"TRUE","TRUE","TRUE"
"2","2","aicAgreeChoiceInfluence",0.125,"TRUE","TRUE","TRUE"
"3","3","aicAgreeChoiceInfluence",2.32258064516129,"TRUE","TRUE","TRUE"
"4","4","aicAgreeChoiceInfluence",8.11428571428571,"TRUE","TRUE","TRUE"
"5","5","aicAgreeChoiceInfluence",5.19607843137255,"TRUE","TRUE","TRUE"
"6","6","aicAgreeChoiceInfluence",0.428571428571429,"TRUE","TRUE","TRUE"
"7","7","aicAgreeChoiceInfluence",0,"TRUE","TRUE","TRUE"
"8","8","aicAgreeChoiceInfluence",3.04,"TRUE","TRUE","TRUE"
"9","9","aicAgreeChoiceInfluence",0.0769230769230769,"TRUE","TRUE","TRUE"
"10","10","aicAgreeChoiceInfluence",3.6,"TRUE","TRUE","TRUE"
"11","11","aicAgreeChoiceInfluence",0.958333333333333,"TRUE","TRUE","TRUE"
"12","12","aicAgreeChoiceInfluence",1,"TRUE","TRUE","TRUE"
"13","13","aicAgreeChoiceInfluence",5.25714285714286,"TRUE","TRUE","TRUE"
"14","14","aicAgreeChoiceInfluence",2.4,"TRUE","TRUE","TRUE"
"15","15","aicAgreeChoiceInfluence",1.23076923076923,"TRUE","TRUE","TRUE"
"16","16","aicAgreeChoiceInfluence",0.263157894736842,"TRUE","TRUE","TRUE"
"17","17","aicAgreeChoiceInfluence",13.2708333333333,"TRUE","TRUE","TRUE"
"18","18","aicAgreeChoiceInfluence",4.88461538461539,"TRUE","TRUE","TRUE"
"19","19","aicAgreeChoiceInfluence",1.80952380952381,"TRUE","TRUE","TRUE"
"20","20","aicAgreeChoiceInfluence",2.23529411764706,"TRUE","TRUE","TRUE"
"21","21","aicAgreeChoiceInfluence",10.5098039215686,"TRUE","TRUE","TRUE"
"22","22","aicAgreeChoiceInfluence",4.93548387096774,"TRUE","TRUE","TRUE"
