"","participantId","nominalParticipantId","name","gender","age","restarted","date","start.time.year","start.time.month","start.time.day","start.time.hour","start.time.minute","start.time.second","screen","computer","os","debug","short.mode","stimulus.response.interval","response.stimulus.interval.1","response.stimulus.interval.2","initial.dot.difference","fixation.pre.flicker.time","fixation.flicker.time","fixation.post.flicker.time","rng.code","trialCount","proportionCorrect","proportionCorrectFinal","aicPickCount","aiuPickCount","aicPickRate","aicPickCount.correct","aiuPickCount.correct","aicPickRate.correct","aicPickCount.lowConf","aiuPickCount.lowConf","aicPickRate.lowConf","aicPickCount.medConf","aiuPickCount.medConf","aicPickRate.medConf","aicPickCount.highConf","aiuPickCount.highConf","aicPickRate.highConf","agreeCount","disagreeCount","aicAgreeCount","aiuAgreeCount","agreeChoice","agreeForced","aicAgreeChoice","aiuAgreeChoice","aicAgreeForced","aiuAgreeForced","aicAgree.lowConf","aiuAgree.lowConf","aicAgree.medConf","aiuAgree.medConf","aicAgree.highConf","aiuAgree.highConf","influence","influence.sd","aicInfluence","aicInfluence.sd","aiuInfluence","aiuInfluence.sd","forcedInfluence","forcedInfluence.sd","choiceInfluence","choiceInfluence.sd","agreeInfluence","agreeInfluence.sd","disagreeInfluence","disagreeInfluence.sd","aicForcedInfluence","aicForcedInfluence.sd","aiuForcedInfluence","aiuForcedInfluence.sd","aicChoiceInfluence","aicChoiceInfluence.sd","aiuChoiceInfluence","aiuChoiceInfluence.sd","aicAgreeInfluence","aicAgreeInfluence.sd","aiuAgreeInfluence","aiuAgreeInfluence.sd","aicAgreeChoiceInfluence","aicAgreeChoiceInfluence.sd","aiuAgreeChoiceInfluence","aiuAgreeChoiceInfluence.sd","aicAgreeForcedInfluence","aicAgreeForcedInfluence.sd","aiuAgreeForcedInfluence","aiuAgreeForcedInfluence.sd","aicDisagreeInfluence","aicDisagreeInfluence.sd","aiuDisagreeInfluence","aiuDisagreeInfluence.sd","aicDisagreeChoiceInfluence","aicDisagreeChoiceInfluence.sd","aiuDisagreeChoiceInfluence","aiuDisagreeChoiceInfluence.sd","aicDisagreeForcedInfluence","aicDisagreeForcedInfluence.sd","aiuDisagreeForcedInfluence","aiuDisagreeForcedInfluence.sd","influence.medConf","influence.medConf.sd","aicInfluence.medConf","aicInfluence.medConf.sd","aiuInfluence.medConf","aiuInfluence.medConf.sd","forcedInfluence.medConf","forcedInfluence.medConf.sd","choiceInfluence.medConf","choiceInfluence.medConf.sd","aicForcedInfluence.medConf","aicForcedInfluence.medConf.sd","aiuForcedInfluence.medConf","aiuForcedInfluence.medConf.sd","aicChoiceInfluence.medConf","aicChoiceInfluence.medConf.sd","aiuChoiceInfluence.medConf","aiuChoiceInfluence.medConf.sd","aicAgreeInfluence.medConf","aicAgreeInfluence.medConf.sd","aiuAgreeInfluence.medConf","aiuAgreeInfluence.medConf.sd","aicAgreeChoiceInfluence.medConf","aicAgreeChoiceInfluence.medConf.sd","aiuAgreeChoiceInfluence.medConf","aiuAgreeChoiceInfluence.medConf.sd","aicAgreeForcedInfluence.medConf","aicAgreeForcedInfluence.medConf.sd","aiuAgreeForcedInfluence.medConf","aiuAgreeForcedInfluence.medConf.sd","aicDisagreeInfluence.medConf","aicDisagreeInfluence.medConf.sd","aiuDisagreeInfluence.medConf","aiuDisagreeInfluence.medConf.sd","aicDisagreeChoiceInfluence.medConf","aicDisagreeChoiceInfluence.medConf.sd","aiuDisagreeChoiceInfluence.medConf","aiuDisagreeChoiceInfluence.medConf.sd","aicDisagreeForcedInfluence.medConf","aicDisagreeForcedInfluence.medConf.sd","aiuDisagreeForcedInfluence.medConf","aiuDisagreeForcedInfluence.medConf.sd","excluded","deviance","deviance.sd","aic.agreement.block1","aiu.agreement.block1","aic.agreement.block1.superiority"
"1",1,"1","1","F",18,NA,"06-Feb-2018",2018,2,6,16,9,32.635,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,208926,313,0.699680511182109,3.7037037037037,65,31,0.677083333333333,43,23,0.651515151515151,7,10,0.411764705882353,21,8,0.724137931034483,15,5,0.75,182,106,99,83,60,122,37,23,62,60,23,27,34,27,24,17,5.54166666666667,8.50199812546648,5.19254658385093,8.64401203720696,5.98425196850394,8.33141335212367,5.71354166666667,8.24787606855449,5.19791666666667,9.02350123629423,1.85714285714286,4.93061566106695,11.8679245283019,9.57782704424589,5.02083333333333,7.91664358260716,6.40625,8.55148879004795,4.67741935483871,7.59116634329751,4.67741935483871,7.59116634329751,1.16161616161616,4.75460479420991,2.68674698795181,5.03627744553206,0.675675675675676,3.97948945674396,2.04347826086957,5.05855046493797,1.45161290322581,5.17141392136235,2.93333333333333,5.04846567282749,11.6290322580645,9.54924058600652,12.2045454545455,9.71831056581851,11.75,11.3353756329793,12.25,8.84388408530357,11.5294117647059,7.96292657529214,12.1944444444444,10.019465182318,4.59259259259259,8.41691418777954,5.23913043478261,9.30277087182737,3.74285714285714,7.13047666562282,4,6.60955932795855,5.6551724137931,11.0008956196074,3.88,6.57216351997828,4.11111111111111,6.76719083482,2.5,8.63547500554709,2.5,8.63547500554709,1.32352941176471,4.93423776456816,1.33333333333333,4.72310197938731,-0.416666666666667,4.5618643185222,-0.833333333333333,2.63944438597722,2.27272727272727,4.96829776522932,1.95238095238095,5.04456331584995,16.3333333333333,9.9666109251507,11.875,8.1317279836453,16.5555555555556,11.435811198939,12.5,14.8492424049175,15.6666666666667,4.72581562625261,11.6666666666667,6.94742158406028,FALSE,0.197916666666667,0.112542079672315,0.846153846153846,0.636363636363636,0.20979020979021
"2",2,"10","10","f",18,NA,"14-Feb-2018",2018,2,14,13,31,28.519,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,211410.2,313,0.667731629392971,3.7962962962963,51,45,0.53125,31,30,0.508196721311475,10,11,0.476190476190476,16,8,0.666666666666667,5,11,0.3125,163,125,85,78,56,107,32,24,53,54,18,28,31,21,19,13,1.95486111111111,2.89563722921589,2.03401360544218,3.30299773760264,1.87234042553191,2.40787714396427,2.07291666666667,2.9150082545182,1.71875,2.85695135636426,0.355828220858896,0.991824491612115,4.04,3.22140021649573,2.32291666666667,3.33875107965985,1.82291666666667,2.41048058831982,1.97777777777778,2.42607884988485,1.97777777777778,2.42607884988485,0.376470588235294,0.987739971905987,0.333333333333333,1.00216216468644,0.125,0.491869376837965,0.375,0.923721207705668,0.528301886792453,1.17020336143414,0.314814814814815,1.04292900451355,4.30645161290323,3.9612413589906,3.77777777777778,2.27500049233915,3.78947368421053,4.36627157714452,3.80952380952381,2.31557870993511,4.53488372093023,3.80068187622333,3.76190476190476,2.28259078102828,1.56578947368421,3.11270740167158,1.64285714285714,3.70116282697438,1.47058823529412,2.23247782055082,1.42307692307692,2.3292357902359,1.875,4.40664024636339,1.53846153846154,2.43689588174414,1.30769230769231,2.25865855355307,2,2.20389266007736,2,2.20389266007736,0.290322580645161,1.00643093444431,0.0476190476190476,0.218217890235992,0.166666666666667,0.577350269189626,0,0,0.368421052631579,1.211542924254,0.0588235294117647,0.242535625036333,5.45454545454545,5.61005590638162,3.76923076923077,2.08781569085357,6.75,9.63932916061417,4,0.816496580927726,4.71428571428571,2.05866345916355,3.66666666666667,2.5,FALSE,0.09375,0.0776976950635076,0.769230769230769,0.818181818181818,-0.048951048951049
"3",3,"8","8","f",20,NA,"12-Feb-2018",2018,2,12,19,16,3.338,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,207579.4,313,0.731629392971246,3.7962962962963,52,44,0.541666666666667,38,34,0.527777777777778,17,13,0.566666666666667,11,9,0.55,10,12,0.454545454545455,178,110,86,92,66,112,31,35,55,57,21,25,27,27,24,26,2.875,5.17952952809463,3.56756756756757,5.519491944186,2.14285714285714,4.70354439837688,2.765625,5.37808872656312,3.09375,4.77731068368188,1.48876404494382,2.05912263704864,5.11818181818182,7.45227238071473,3.40625,5.85720990700665,2.125,4.79747740731358,2.18181818181818,4.5457505189052,2.18181818181818,4.5457505189052,1.59302325581395,2.01977230502814,1.39130434782609,2.10157722946587,2.32258064516129,2.65062378537825,1.42857142857143,1.61401425545338,1.18181818181818,1.42842712113851,1.36842105263158,2.36516066312756,6.30645161290323,7.3898217766779,3.58333333333333,7.32478547600567,6.14285714285714,6.39754417167802,5.11111111111111,9.37342579375924,6.39024390243902,7.9242603717334,3.23076923076923,6.86892904569685,2.55844155844156,3.83712305364012,3.05,4.50042733013723,2.02702702702703,2.92960450958531,2.59649122807018,4.17415367436839,2.45,2.74293350457613,3.06896551724138,4.92755397508134,2.10714285714286,3.23567252971878,1.77777777777778,1.7873008824606,1.77777777777778,1.7873008824606,2.03703703703704,2.57922888717183,2.07407407407407,3.08751737367801,3.33333333333333,3.60555127546399,2,1.77281052085584,1.38888888888889,1.64991582276861,2.10526315789474,3.54173116556336,5.15384615384615,6.65640235470275,1.9,2.60128173535022,1.5,0.707106781186548,0,NA,5.81818181818182,7.06849604680065,2.11111111111111,2.66666666666667,FALSE,0.291666666666667,0.153864363724166,0.428571428571429,0.3,0.128571428571429
"4",4,"12","12","f",18,NA,"16-Feb-2018",2018,2,16,14,2,8.08,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,206556.5,313,0.677316293929712,3.81481481481481,63,33,0.65625,46,25,0.647887323943662,21,5,0.807692307692308,17,13,0.566666666666667,8,7,0.533333333333333,159,129,85,74,57,102,35,22,50,52,19,20,31,23,16,19,6.5,3.37752357582097,6.85534591194969,3.56110578400924,6.06201550387597,3.0942283417692,6.328125,3.38330372712053,6.84375,3.35709186491429,6.71698113207547,2.80851344856687,6.23255813953488,3.96372541758968,6.75,3.47623510803222,5.90625,3.25116375925201,6.51515151515152,2.57537876002264,6.51515151515152,2.57537876002264,7.36470588235294,3.07388020192693,5.97297297297297,2.26934890772947,8.11428571428571,3.16015104415101,5.81818181818182,2.12997571272457,6.84,2.93020860161518,6.03846153846154,2.34279486571177,6.27027027027027,3.9907334351734,6.18181818181818,3.96321469353739,5.64285714285714,3.93666794349669,7.90909090909091,2.91391645228704,6.65217391304348,4.01783463685131,5.75,4.09835474646924,6.53086419753086,3.22911140932411,6.57446808510638,3.49996696165192,6.47058823529412,2.8628793951846,6.41176470588235,3.17601303894197,6.73333333333333,3.36240198763277,6.5,3.43159759717912,6.28571428571429,2.84855853271189,6.76923076923077,2.97640292282049,6.76923076923077,2.97640292282049,7.16129032258065,3.04517951516325,6.43478260869565,2.57304359848095,7.58333333333333,2.74551976643381,5.77777777777778,2.86259400621961,6.89473684210526,3.26419526993008,6.85714285714286,2.38124540321439,5.4375,4.11450685582934,6.54545454545455,3.53167485376659,4.6,5.17687164221791,9,2,5.81818181818182,3.76346068979555,5.14285714285714,3.53216512583861,FALSE,0.197916666666667,0.155014051171518,0.533333333333333,0.555555555555556,-0.0222222222222223
"5",5,"13","13","f",18,NA,"19-Feb-2018",2018,2,19,15,47,36.844,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,214686.6,313,0.696485623003195,3.77777777777778,77,19,0.802083333333333,60,16,0.789473684210526,23,3,0.884615384615385,17,7,0.708333333333333,20,6,0.769230769230769,157,131,98,59,62,95,51,11,47,48,23,12,30,19,30,19,5.80902777777778,3.8745558485607,5.98265895953757,4.09831784612893,5.54782608695652,3.51249268778878,5.74479166666667,3.74759594260642,5.9375,4.13410080594126,4.90445859872611,3.03565022707814,6.89312977099237,4.46223798351136,5.77083333333333,3.90810000051625,5.71875,3.60030152246053,4.68421052631579,2.96371822732765,4.68421052631579,2.96371822732765,4.76530612244898,3.02498537240448,5.13559322033898,3.06514120234257,5.19607843137255,3.31674302799079,5.18181818181818,3.18804585344006,4.29787234042553,2.62856295354326,5.125,3.07096907568764,7.57333333333333,4.74533436105383,5.98214285714286,3.91031768729657,8.30769230769231,5.33493565673837,4,2.67261241912424,7.18367346938776,4.40961765816,6.3125,4.00614554499204,5.50746268656716,3.85876858332386,5.65,4.23386832880299,5.2962962962963,3.29118653860714,5.30232558139535,3.77040406904271,5.875,4.06803552632942,5.39130434782609,4.2931142588482,5.2,3.17224808215512,5.57142857142857,3.86683086679272,5.57142857142857,3.86683086679272,4.53333333333333,2.97962429167508,5.78947368421053,2.9169799330514,5.06666666666667,3.57504578725257,7.75,3.86221007541882,4,2.23606797749979,5.26666666666667,2.52039301546028,9,5.69600249687835,4.125,4.01559460105225,13,0,2.66666666666667,0.577350269189626,8,6,5,5.04975246918104,FALSE,0.34375,0.161007128583009,0.9,0.428571428571429,0.471428571428571
"6",6,"14","14","f",27,NA,"12-Mar-2018",2018,3,12,12,5,9.148,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,206660.5,313,0.674121405750799,3.81481481481481,38,58,0.395833333333333,21,43,0.328125,8,16,0.333333333333333,7,19,0.269230769230769,6,8,0.428571428571429,177,111,76,101,61,116,21,40,55,61,20,33,18,35,17,17,1.40972222222222,3.27574380615247,1.41791044776119,3.04921660705371,1.4025974025974,3.4707356974135,1.23958333333333,3.43296245815367,1.75,2.92358827830675,0.231638418079096,2.30550579253767,3.28828828828829,3.70107450586347,1.28125,3.14124723804516,1.19791666666667,3.71800679953702,1.74137931034483,3.01784368718232,1.74137931034483,3.01784368718232,0.355263157894737,2.05071660560186,0.138613861386139,2.48608005892931,0.428571428571429,1.247855302967,0.475,1.08574681848309,0.327272727272727,2.29374790708994,-0.0819672131147541,3.0675456093714,2.81034482758621,3.56127759724258,3.81132075471698,3.81321892981197,3.41176470588235,3.33651808644528,4.55555555555556,3.95893958205718,2.5609756097561,3.66093417373083,3.42857142857143,3.73603843573341,0.628571428571429,2.627454979393,0.0454545454545455,2.3599288271607,0.895833333333333,2.72294883437238,0.772727272727273,3.01055226613754,0.384615384615385,1.83470810925167,-0.0666666666666667,2.65832027165025,1.20689655172414,3.132540164431,0.421052631578947,1.92399438303882,0.421052631578947,1.92399438303882,-0.0555555555555556,1.98441641213028,0.142857142857143,1.83339699405642,0.285714285714286,1.70433620649269,-0.266666666666667,1.16291915126588,-0.272727272727273,2.19503572139084,0.45,2.18788530441227,0.5,4.04145188432738,2.92307692307692,3.66200169446389,NA,NA,3,2.16024689946929,0.5,4.04145188432738,2.88888888888889,4.28498671072748,FALSE,0.1875,0.0842749828079053,0.642857142857143,0.6,0.0428571428571429
"7",7,"15","15","f",37,NA,"12-Mar-2018",2018,3,12,13,4,52.622,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,210865.8,313,0.731629392971246,3.92592592592593,50,46,0.520833333333333,41,30,0.577464788732394,6,10,0.375,21,11,0.65625,14,9,0.608695652173913,172,116,85,87,62,110,34,28,51,59,12,24,32,24,30,23,0.0277777777777778,1.0848622285686,0.0273972602739726,1.02348428203791,0.028169014084507,1.14819415396669,0.0885416666666667,1.10566080704904,-0.09375,1.03698068804025,0.0174418604651163,1.31333171791379,0.0431034482758621,0.609949981973723,0.03125,1.26035187233775,0.145833333333333,0.928826839753037,-0.217391304347826,1.48941514962172,-0.217391304347826,1.48941514962172,0.0470588235294118,1.33546747970729,-0.0114942528735632,1.29842707054525,0,0,-0.357142857142857,1.90931994320037,0.0784313725490196,1.73023856453267,0.152542372881356,0.847177042972188,0,0.182574185835055,0.0909090909090909,0.866511252576532,0.0625,0.25,0,0,-0.0222222222222222,0.149071198499986,0.135135135135135,1.05835727432664,0.12,1.93097090828646,0.0909090909090909,1.86545314425311,0.161290322580645,2.05096358156434,0.395348837209302,2.29013968053647,-0.25,1.24434203367651,0.173913043478261,2.60510292787485,0.65,1.89944590258373,-0.727272727272727,2.10194714923611,-0.727272727272727,2.10194714923611,0.125,2.19603748719399,-0.0416666666666667,1.98864530395129,0,0,-0.8,2.20100986922922,0.235294117647059,3.05224122090444,0.5,1.69841555121689,0,0,0.857142857142857,2.26778683805536,0,0,0,NA,0,0,1,2.44948974278318,FALSE,0.0833333333333333,0.0615457454896664,0.615384615384615,0.454545454545455,0.160839160839161
"8",8,"16","16","f",26,NA,"12-Mar-2018",2018,3,12,17,8,41.355,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,210599.8,313,0.728434504792332,3.85185185185185,46,50,0.479166666666667,32,34,0.484848484848485,10,17,0.37037037037037,14,8,0.636363636363636,8,9,0.470588235294118,171,117,83,88,55,116,25,30,58,58,18,36,28,22,25,20,5.14583333333333,10.082909782717,4.63380281690141,9.72929981024958,5.64383561643836,10.4245993727882,4.61458333333333,8.56495940845092,6.20833333333333,12.567222752832,3.02923976608187,2.20541286140099,8.23931623931624,15.1046062697087,3.69791666666667,5.3016775729687,5.53125,10.8481898805382,5.86,9.66164307655667,5.86,9.66164307655667,2.6144578313253,2.05314348696777,3.42045454545455,2.28297844834578,3.04,2.40624188310319,3.9,2.39755622709228,2.43103448275862,1.87422095128314,3.17241379310345,2.20157783159677,7.47457627118644,14.4953689777155,9.01724137931035,15.7886161291624,10.8095238095238,21.8966185691285,8.8,14.7241298554448,5.63157894736842,7.77181690340717,9.13157894736842,16.5123558203196,5.05479452054795,10.7379006987178,4.07142857142857,6.88367760877881,6.38709677419355,14.4491693402651,5.74509803921569,12.6678224446902,3.45454545454545,3.06636550375153,4.57142857142857,8.12143287589524,7.17391304347826,16.7295388566371,4.125,2.69589635239509,4.125,2.69589635239509,2.60714285714286,1.85271144071053,3.81818181818182,2.64820448851425,3.33333333333333,1.4142135623731,5,2.34520787991171,2.26315789473684,1.96757338598584,3.47058823529412,2.69531183397264,7,11.3340874560566,12.6666666666667,26.4952825989835,2.6,5.54977477020464,2.66666666666667,3.05505046330389,9.44444444444444,13.2108961761789,17.6666666666667,32.0853029698438,FALSE,0.145833333333333,0.0897175703206592,0.545454545454545,0.538461538461538,0.00699300699300698
"9",9,"17","17","m",20,NA,"13-Mar-2018",2018,3,13,11,5,25.026,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,208162.4,313,0.70926517571885,3.81481481481481,67,29,0.697916666666667,49,16,0.753846153846154,11,9,0.55,19,6,0.76,19,1,0.95,180,108,102,78,55,125,39,16,63,62,17,27,38,24,31,17,0.09375,7.23581605433177,-0.0368098159509202,7.0534901356163,0.264,7.49208614730968,0.296875,7.88400133778786,-0.3125,5.74055288003003,-0.35,5.99392150199409,0.833333333333333,8.91339431029735,0.104166666666667,8.1246592371187,0.489583333333333,7.67359764889931,-0.482758620689655,6.93140209303785,-0.482758620689655,6.93140209303785,-0.588235294117647,5.55147458990009,-0.0384615384615385,6.55137996307491,0.0769230769230769,5.8010190365442,0,8.27042925125413,-1,5.397131854797,-0.0483870967741935,6.11214169047323,0.885245901639344,9.0038850145474,0.765957446808511,8.89116015796991,-0.678571428571429,4.28652990475263,-1.07692307692308,5.0902118237119,2.21212121212121,11.5129209362719,1.47058823529412,9.94602187603895,0.494252873563218,7.57270736388462,0.846153846153846,8.77694085655114,-0.0285714285714286,5.38781694460488,0.306451612903226,8.38145632651975,0.96,5.1597803570824,0.606060606060606,10.4371314124721,-0.0344827586206897,5.32167239167679,0,6.22896460095897,0,6.22896460095897,-0.131578947368421,5.75241924491553,0.583333333333333,5.29902917003931,2.63636363636364,4.56667772615339,5,9.89949493661167,-1.25925925925926,5.87427633901594,0.181818181818182,4.90516116560976,3.5,14.0589418575455,-1.36363636363636,5.59057648678072,-0.625,5.06916448455054,-2.5,2.64575131106459,9,20.3568170399992,-0.714285714285714,6.8729975438738,FALSE,0.260416666666667,0.112542079672315,0.538461538461538,0.636363636363636,-0.0979020979020979
"10",10,"18","18","f",21,NA,"13-Mar-2018",2018,3,13,12,5,6.645,0,"PCWIN64","Windows_NT",0,0,0.2,1,1,20,0.5,0.1,0.05,206317.8,313,0.712460063897764,3.81481481481481,61,35,0.635416666666667,42,21,0.666666666666667,13,5,0.722222222222222,15,6,0.714285714285714,14,10,0.583333333333333,169,119,99,70,63,106,40,23,59,47,20,19,31,15,35,22,3.23611111111111,5.20919330879339,3.07006369426752,4.97057321370887,3.43511450381679,5.49419166958822,2.91145833333333,4.63511228827915,3.88541666666667,6.17613367674166,3.79881656804734,5.14385889245012,2.43697478991597,5.21834874763094,3.35416666666667,5.00942094913315,2.46875,4.20764498452394,6.08571428571429,7.48870297641104,6.08571428571429,7.48870297641104,4.02020202020202,5.6945727796249,3.48571428571429,4.26561192967382,3.6,5.79035449072033,5.1304347826087,5.22497801496973,4.30508474576271,5.66067571599538,2.68085106382979,3.496000093142,1.44827586206897,2.76045008911497,3.37704918032787,6.66874284610983,0.761904761904762,1.26114082896249,7.91666666666667,10.6383383300327,1.83783783783784,3.27883374856835,2.26530612244898,4.82085534511288,3.94594594594595,6.66598787115668,3.61363636363636,5.82383198826032,4.43333333333333,7.81988329277641,2.9622641509434,4.77558801917444,6.42857142857143,9.68798961896341,3.31034482758621,5.24474872253777,2.54166666666667,4.21156964095095,12,13.6821051011897,12,13.6821051011897,4.58064516129032,6.5359222432563,3.8,4.3785189929277,5.45454545454545,7.80209762004599,5,7.07106781186548,4.1,5.89290385035032,3.61538461538462,4.23356550948216,1.30769230769231,2.56205046088139,5.06666666666667,10.3265722889105,0.75,1.5,15.5,15.6950098226581,1.55555555555556,2.96273147243853,1.27272727272727,4.00227208197816,FALSE,0.302083333333333,0.202669214746741,0.8,0.642857142857143,0.157142857142857
